comuna,region_id,region_nombre,fuente,numero,fecha,titulo,materia,url,source_listing_url,sha256,rdf_url
Concepción,08,Biobío,BCN,6,2004-12-31,"MODIFICA ORDENANZA LOCAL Nº 5, DE 2002, SOBRE DERECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=234337,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2004-12-31/6/datos.json
Concepción,08,Biobío,BCN,1,1996-06-03,"AMPLIA ORDENANZA LOCAL SOBRE DERECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=30920,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1996-06-03/1/datos.json
Concepción,08,Biobío,BCN,3,1995-01-23,ORDENANZA SOBRE CONTROL DE BUSES RURALES,Normativa General y Otras Materias,https://www.bcn.cl/leychile/navegar?idNorma=30965,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1995-01-23/3/datos.json
Concepción,08,Biobío,BCN,2,1994-12-06,DICTA ORDENANZA SOBRE PLAYAS DE ESTACIONAMIENTO,Tránsito y Transporte,https://www.bcn.cl/leychile/navegar?idNorma=30938,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1994-12-06/2/datos.json
Concepción,08,Biobío,BCN,3,1993-08-07,"DEJA SIN EFECTO ORDENANZA N° 2, DE 1993",Normativa General y Otras Materias,https://www.bcn.cl/leychile/navegar?idNorma=30958,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1993-08-07/3/datos.json
Concepción,08,Biobío,BCN,1,1993-01-30,"MODIFICA Y AMPLIA ORDENANZA LOCAL SOBRE DERECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=30870,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1993-01-30/1/datos.json
Concepción,08,Biobío,BCN,2,1992-08-08,ESTABLECE SENTIDO UNICO DE TRANSITO EN CALLES QUE INDICA,Tránsito y Transporte,https://www.bcn.cl/leychile/navegar?idNorma=85409,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1992-08-08/2/datos.json
Concepción,08,Biobío,BCN,1,1992-01-30,"MODIFICA Y AMPLIA ORDENANZA LOCAL SOBRE DERECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=96916,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1992-01-30/1/datos.json
Concepción,08,Biobío,BCN,4,1991-07-20,"AMPLIA ORDENANZA LOCAL SOBRE DERECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=30974,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1991-07-20/4/datos.json
Concepción,08,Biobío,BCN,5,1991-07-20,DICTA ORDENANZA SOBRE QUIOSCOS EN LA VIA PUBLICA,"Comercio, Alcoholes y Patentes",https://www.bcn.cl/leychile/navegar?idNorma=30985,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1991-07-20/5/datos.json
Concepción,08,Biobío,BCN,7,1991-07-20,DICTA ORDENANZA DE TERMINALES PRIVADOS DE LOCOMOCION COLECTIVA NO URBANA,"Urbanismo, Obras y Edificación",https://www.bcn.cl/leychile/navegar?idNorma=31012,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1991-07-20/7/datos.json
Concepción,08,Biobío,BCN,6,1991-07-18,DICTA ORDENANZA SOBRE RELOJES CONTROL DE LA LOCOMOCION COLECTIVA,Normativa General y Otras Materias,https://www.bcn.cl/leychile/navegar?idNorma=31003,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1991-07-18/6/datos.json
Concepción,08,Biobío,BCN,2,1991-02-21,"MODIFICA ORDENANZA LOCAL SOBRE DERECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=88476,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1991-02-21/2/datos.json
Concepción,08,Biobío,BCN,5,1991-01-29,"DICTA ORDENANZA LOCAL SOBRE DERECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=88228,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1991-01-29/5/datos.json
Concepción,08,Biobío,BCN,3,1990-12-04,"MODIFICA ORDENANZA NO. 1, DE 1982",Normativa General y Otras Materias,https://www.bcn.cl/leychile/navegar?idNorma=88015,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1990-12-04/3/datos.json
Concepción,08,Biobío,BCN,2,1990-07-24,DICTA ORDENANZA SOBRE EL TRANSPORTE DE CARGA DENTRO DE LA COMUNA,Tránsito y Transporte,https://www.bcn.cl/leychile/navegar?idNorma=89437,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1990-07-24/2/datos.json
Concepción,08,Biobío,BCN,1,1990-01-31,"MODIFICA ORDENANZA LOCAL SOBRE DERECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=204607,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1990-01-31/1/datos.json
Concepción,08,Biobío,BCN,1,1989-05-18,MODIFICA TITULO IV DE LA ORDENANZA LOCAL DE TRANSITO,Tránsito y Transporte,https://www.bcn.cl/leychile/navegar?idNorma=100164,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1989-05-18/1/datos.json
Concepción,08,Biobío,BCN,4,1988-12-10,"MODIFICA ORDENANZA SOBRE DERECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=126212,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1988-12-10/4/datos.json
Concepción,08,Biobío,BCN,3,1988-07-14,MODIFICA ORDENANZA SOBRE DERECHOS MUNICIPALES,Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=133430,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/1988-07-14/3/datos.json
